B9FU30_ORYSJ_284-472	B9FU30_ORYSJ_849-1024	Q5Z6I4_ORYSJ_261-445	Q5Z6I4_ORYSJ_857-1036	D0NKW7_PHYIT_491-663	D0NKW7_PHYIT_696-864	Q22US2_TETTS_932-1154	Q22US2_TETTS_1211-1402	Q22US2_TETTS_1444-1649	B9G1J5_ORYSJ_289-475	B9G1J5_ORYSJ_898-1071	C2GR1_ARATH_236-423	C2GR1_ARATH_844-1019	A9TQ08_PHYPA_235-415	A9TQ08_PHYPA_826-1012	C2GR2_ARATH_238-426	C2GR2_ARATH_849-1023	B9F3V9_ORYSJ_332-515	B9F3V9_ORYSJ_899-1075	A9SDA2_PHYPA_232-412	A9SDA2_PHYPA_817-1004	A9TQF1_PHYPA_224-401	A9TQF1_PHYPA_820-1003	Q7XKT6_ORYSJ_248-436	Q7XKT6_ORYSJ_859-1033	YSP2_YEAST_841-1021	YSP2_YEAST_1046-1230	A9RSX7_PHYPA_212-394	A9RSX7_PHYPA_807-992	F4HVW5_ARATH_257-449	YHO0_YEAST_751-934	YHO0_YEAST_957-1143	B9G4K6_ORYSJ_394-582	GRM1B_HUMAN_55-233	GRM1B_HUMAN_321-502	GRM1B_MOUSE_321-502	GRM1C_HUMAN_107-289	GRM1C_HUMAN_312-494	B3KUR5_HUMAN_45-223	GRM1C_MOUSE_107-289	Q8W4D4_ARATH_391-576	I7M7X5_TETTS_1013-1226	I7M7X5_TETTS_1307-1507	Q2MGF5_CAEEL_57-244	J3KR86_HUMAN_127-303	Q55FU7_DICDI_479-662	GRM1A_MOUSE_365-539	C4M0I0_ENTHI_201-371	C4M0I0_ENTHI_381-531	B3KQF7_HUMAN_127-303	Q8MRR1_DROME_41-220	Q86AF7_DICDI_286-471	D0MXP9_PHYIT_957-1148	Q8MKJ8_DROME_144-324	D0NMG0_PHYIT_279-489	B8C8I7_THAPS_81-294	Q22XZ6_TETTS_144-333	Q4P940_USTMA_827-1016	B9F0Z0_ORYSJ_387-537	B8BQ30_THAPS_365-549	V5IMN0_NEUCR_493-676	B9G4T6_ORYSJ_322-427	Q55CZ7_DICDI_2-179	F8WJ74_MOUSE_365-496	Q86AF6_DICDI_540-708	B8CDL4_THAPS_224-415	D0NJ57_PHYIT_385-538	YL072_YEAST_390-578	B8C2T9_THAPS_869-1064	Q4QEC5_LEIMA_378-547	B8CDL2_THAPS_184-373	Q4QEC6_LEIMA_54-221	Q8VZF8_ARATH_257-370	Q4Q507_LEIMA_35-214	C4LUM2_ENTHI_46-249	I7MCY9_TETTS_788-993	Q5BB65_EMENI_853-1030	YFE2_YEAST_402-586	B8BUE2_THAPS_254-437	Q23QL2_TETTS_311-513	Q7RWT3_NEUCR_945-1126	D0NHH4_PHYIT_394-641	Q6K8R7_ORYSJ_365-458	B8LDM5_THAPS_929-1109	I7M5W4_TETTS_346-560	
0.00	80.49	44.80	81.30	83.61	82.50	82.26	82.79	82.40	39.20	82.93	46.40	83.61	58.40	76.42	46.40	82.93	24.00	84.55	57.60	78.86	60.00	78.05	48.80	82.93	75.81	77.69	58.40	83.74	77.60	78.40	78.40	80.80	74.40	74.40	74.40	72.00	72.00	72.00	71.20	81.60	81.60	76.23	75.20	72.80	76.80	72.80	80.80	84.62	72.80	79.20	75.20	77.60	76.80	81.60	79.20	82.40	76.00	83.49	76.80	77.60	78.48	83.87	71.58	76.00	84.00	82.69	75.20	87.20	78.33	81.60	77.50	82.86	85.60	75.00	82.40	80.00	71.20	79.03	85.60	84.80	79.20	85.92	80.80	84.80	
80.49	0.00	82.93	44.72	81.67	78.81	82.79	78.33	78.86	81.30	44.72	82.11	50.82	80.49	65.85	82.11	64.23	81.30	34.96	81.30	68.29	81.30	66.67	78.86	65.85	87.70	84.87	83.74	69.92	78.86	86.99	86.99	80.49	81.30	81.30	81.30	79.67	79.67	79.67	78.86	83.74	87.80	84.17	78.05	82.11	81.30	82.11	84.55	86.27	82.11	82.93	78.86	78.86	78.86	75.61	80.49	82.93	80.49	86.11	78.86	81.30	80.77	86.07	83.87	86.18	77.24	81.37	86.18	78.86	80.51	80.49	80.51	79.41	86.99	82.79	79.67	82.93	86.99	82.79	86.18	86.18	89.43	85.71	85.37	82.11	
44.80	82.93	0.00	88.62	83.61	81.67	87.10	82.79	80.80	37.60	86.99	31.20	86.07	52.00	79.67	48.80	83.74	45.60	91.87	52.80	80.49	52.80	79.67	52.80	81.30	76.61	79.34	56.80	84.55	79.20	77.60	77.60	82.40	71.20	71.20	71.20	72.00	72.00	72.00	73.60	81.60	84.00	81.15	75.20	76.00	78.40	76.00	80.80	86.54	76.00	75.20	80.80	75.20	71.20	81.60	82.40	83.20	69.60	84.40	80.00	79.20	79.75	80.65	75.79	80.00	86.40	87.50	76.00	82.40	75.83	81.60	74.17	84.29	83.20	75.00	89.60	78.40	71.20	79.03	88.80	88.00	80.80	81.69	80.00	84.00	
81.30	44.72	88.62	0.00	84.17	78.81	84.43	81.67	84.55	82.11	45.53	81.30	40.98	80.49	67.48	84.55	63.41	84.55	51.22	81.30	69.11	82.93	67.48	78.86	64.23	86.07	82.35	83.74	74.80	82.93	87.80	84.55	81.30	82.93	82.93	82.93	83.74	83.74	83.74	82.11	82.93	87.80	83.33	81.30	80.49	79.67	80.49	87.80	87.25	80.49	85.37	80.49	78.86	84.55	82.11	82.11	84.55	84.55	78.70	79.67	82.11	82.05	86.07	80.65	84.55	80.49	75.49	85.37	80.49	84.75	82.93	84.75	85.29	88.62	81.97	82.93	84.55	84.55	83.61	85.37	81.30	88.62	82.86	86.99	91.06	
83.61	81.67	83.61	84.17	0.00	53.33	83.47	82.35	80.33	86.07	85.00	82.79	84.03	80.33	81.67	81.15	82.50	83.61	85.00	81.15	81.67	83.61	81.67	81.15	85.83	80.17	82.20	81.97	79.17	74.59	82.79	88.52	71.31	86.07	86.07	85.25	80.33	80.33	80.33	81.15	71.31	83.61	81.15	81.15	84.43	72.95	83.61	75.41	77.23	84.43	81.97	79.51	77.87	81.15	78.69	81.15	80.33	80.33	76.15	79.51	81.15	74.68	76.86	82.61	78.69	81.15	71.29	85.25	76.23	78.33	82.79	79.17	79.10	83.61	80.17	82.79	86.89	87.70	77.69	87.70	84.43	80.33	76.06	79.51	87.70	
82.50	78.81	81.67	78.81	53.33	0.00	82.50	81.20	79.17	83.33	79.66	83.33	76.07	80.83	77.12	78.33	81.36	82.50	83.90	80.00	79.66	83.33	80.51	81.67	83.90	80.67	78.45	85.83	78.81	74.17	81.67	86.67	78.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	75.83	81.67	77.50	80.83	83.33	75.00	83.33	77.50	79.80	83.33	82.50	76.67	78.33	83.33	80.83	77.50	80.83	83.33	77.98	80.83	85.83	74.68	86.55	85.56	77.50	82.50	76.77	80.83	79.17	84.17	80.83	84.17	80.00	88.33	77.31	84.17	87.50	85.83	79.83	82.50	85.00	80.83	74.65	84.17	83.33	
82.26	82.79	87.10	84.43	83.47	82.50	0.00	73.55	75.00	83.87	80.33	84.68	84.30	83.06	83.61	85.48	82.79	85.48	84.43	83.06	83.61	83.06	79.51	86.29	89.34	88.62	79.17	83.06	81.97	80.65	85.48	86.29	80.65	83.06	83.06	83.06	83.06	83.06	83.06	83.06	80.65	78.23	76.03	76.61	79.84	79.84	79.84	80.65	86.41	79.84	83.06	80.65	83.06	80.65	79.84	83.87	86.29	87.10	80.73	81.45	88.71	77.22	82.93	78.72	84.68	75.81	84.47	85.48	85.48	75.00	81.45	75.83	79.71	87.10	86.18	74.19	87.90	87.90	82.11	79.03	86.29	91.13	77.46	87.10	83.87	
82.79	78.33	82.79	81.67	82.35	81.20	73.55	0.00	45.90	86.07	80.00	81.97	79.83	83.61	82.50	83.61	78.33	81.97	83.33	82.79	84.17	80.33	83.33	83.61	86.67	83.47	78.81	85.25	80.83	77.05	86.89	86.89	82.79	81.97	81.97	81.97	81.97	81.97	81.97	81.97	80.33	72.13	68.07	80.33	84.43	80.33	84.43	80.33	85.15	84.43	81.97	81.97	81.97	86.07	82.79	79.51	85.25	87.70	81.65	84.43	86.07	78.48	78.51	83.70	83.61	82.79	81.19	78.69	83.61	80.34	83.61	80.34	77.61	86.89	85.95	76.23	87.70	84.43	78.51	74.59	90.98	86.89	81.69	87.70	74.59	
82.40	78.86	80.80	84.55	80.33	79.17	75.00	45.90	0.00	79.20	81.30	81.60	82.79	82.40	82.93	83.20	80.49	82.40	86.18	82.40	82.93	82.40	82.11	80.80	84.55	83.06	79.34	83.20	82.11	74.40	80.00	86.40	80.80	81.60	81.60	82.40	82.40	82.40	82.40	82.40	77.60	69.60	70.49	77.60	80.80	78.40	80.80	82.40	86.54	80.80	78.40	81.60	81.60	80.00	76.00	77.60	86.40	84.00	85.32	83.20	86.40	77.22	79.84	77.89	86.40	77.60	82.69	80.00	81.60	77.50	80.80	78.33	77.14	82.40	86.29	75.20	84.00	82.40	81.45	78.40	92.00	88.00	85.92	89.60	76.00	
39.20	81.30	37.60	82.11	86.07	83.33	83.87	86.07	79.20	0.00	83.74	42.40	81.15	60.00	81.30	44.80	82.11	40.80	86.99	59.20	84.55	63.20	83.74	58.40	81.30	80.65	78.51	56.00	88.62	80.80	80.80	77.60	83.20	72.80	72.80	72.80	72.00	72.00	72.00	71.20	81.60	81.60	81.15	79.20	73.60	77.60	73.60	84.00	81.73	73.60	75.20	77.60	76.80	73.60	80.80	83.20	80.80	75.20	84.40	78.40	77.60	82.28	79.03	70.53	80.80	84.00	85.58	75.20	85.60	75.00	83.20	74.17	85.71	81.60	76.61	88.00	78.40	72.00	80.65	88.80	87.20	81.60	83.10	83.20	84.80	
