B9FU30_ORYSJ_284-472	B9FU30_ORYSJ_849-1024	Q5Z6I4_ORYSJ_261-445	Q5Z6I4_ORYSJ_857-1036	D0NKW7_PHYIT_491-663	D0NKW7_PHYIT_696-864	Q22US2_TETTS_932-1154	Q22US2_TETTS_1211-1402	Q22US2_TETTS_1444-1649	B9G1J5_ORYSJ_289-475	B9G1J5_ORYSJ_898-1071	C2GR1_ARATH_236-423	C2GR1_ARATH_844-1019	A9TQ08_PHYPA_235-415	A9TQ08_PHYPA_826-1012	C2GR2_ARATH_238-426	C2GR2_ARATH_849-1023	B9F3V9_ORYSJ_332-515	B9F3V9_ORYSJ_899-1075	A9SDA2_PHYPA_232-412	A9SDA2_PHYPA_817-1004	A9TQF1_PHYPA_224-401	A9TQF1_PHYPA_820-1003	Q7XKT6_ORYSJ_248-436	Q7XKT6_ORYSJ_859-1033	YSP2_YEAST_841-1021	YSP2_YEAST_1046-1230	A9RSX7_PHYPA_212-394	A9RSX7_PHYPA_807-992	F4HVW5_ARATH_257-449	YHO0_YEAST_751-934	YHO0_YEAST_957-1143	B9G4K6_ORYSJ_394-582	GRM1B_HUMAN_55-233	GRM1B_HUMAN_321-502	GRM1B_MOUSE_321-502	GRM1C_HUMAN_107-289	GRM1C_HUMAN_312-494	B3KUR5_HUMAN_45-223	GRM1C_MOUSE_107-289	Q8W4D4_ARATH_391-576	I7M7X5_TETTS_1013-1226	I7M7X5_TETTS_1307-1507	Q2MGF5_CAEEL_57-244	J3KR86_HUMAN_127-303	Q55FU7_DICDI_479-662	GRM1A_MOUSE_365-539	C4M0I0_ENTHI_201-371	C4M0I0_ENTHI_381-531	B3KQF7_HUMAN_127-303	Q8MRR1_DROME_41-220	Q86AF7_DICDI_286-471	D0MXP9_PHYIT_957-1148	Q8MKJ8_DROME_144-324	D0NMG0_PHYIT_279-489	B8C8I7_THAPS_81-294	Q22XZ6_TETTS_144-333	Q4P940_USTMA_827-1016	B9F0Z0_ORYSJ_387-537	B8BQ30_THAPS_365-549	V5IMN0_NEUCR_493-676	B9G4T6_ORYSJ_322-427	Q55CZ7_DICDI_2-179	F8WJ74_MOUSE_365-496	Q86AF6_DICDI_540-708	B8CDL4_THAPS_224-415	D0NJ57_PHYIT_385-538	YL072_YEAST_390-578	B8C2T9_THAPS_869-1064	Q4QEC5_LEIMA_378-547	B8CDL2_THAPS_184-373	Q4QEC6_LEIMA_54-221	Q8VZF8_ARATH_257-370	Q4Q507_LEIMA_35-214	C4LUM2_ENTHI_46-249	I7MCY9_TETTS_788-993	Q5BB65_EMENI_853-1030	YFE2_YEAST_402-586	B8BUE2_THAPS_254-437	Q23QL2_TETTS_311-513	Q7RWT3_NEUCR_945-1126	D0NHH4_PHYIT_394-641	Q6K8R7_ORYSJ_365-458	B8LDM5_THAPS_929-1109	I7M5W4_TETTS_346-560	
0.00	272.48	66.97	290.41	372.42	324.74	316.79	335.08	321.38	54.95	340.54	70.74	372.42	105.62	212.89	70.74	340.54	28.97	446.65	102.82	244.19	111.47	232.61	76.71	340.54	206.35	227.85	105.62	380.07	226.76	237.44	237.44	278.99	192.90	192.90	192.90	173.55	173.55	173.55	167.87	297.93	297.93	210.80	200.32	179.57	217.12	179.57	278.99	454.21	179.57	249.44	200.32	226.76	217.12	297.93	249.44	321.38	208.36	365.98	217.12	226.76	238.59	388.23	170.52	208.36	396.97	331.55	200.32	99999	236.51	297.93	225.50	337.78	99999	198.41	321.38	263.11	167.87	246.80	99999	480.62	249.44	99999	278.99	480.62	
272.48	0.00	340.54	66.78	299.68	243.46	335.08	236.51	244.19	290.41	66.78	312.34	82.06	272.48	136.76	312.34	129.02	290.41	46.85	290.41	149.70	290.41	140.88	244.19	136.76	99999	493.52	380.07	159.43	244.19	99999	99999	272.48	290.41	290.41	290.41	257.32	257.32	257.32	244.19	380.07	99999	409.52	232.61	312.34	290.41	312.34	446.65	99999	312.34	340.54	244.19	244.19	244.19	204.36	272.48	340.54	272.48	99999	244.19	290.41	278.33	99999	388.23	99999	222.25	292.17	99999	244.19	272.90	272.48	272.90	252.88	99999	335.08	257.32	340.54	99999	335.08	99999	99999	99999	99999	742.72	312.34	
66.97	340.54	0.00	99999	372.42	299.68	99999	335.08	278.99	51.80	99999	40.27	99999	85.35	257.32	76.71	380.07	68.83	99999	87.65	272.48	87.65	257.32	87.65	290.41	215.00	251.68	100.11	446.65	249.44	226.76	226.76	321.38	167.87	167.87	167.87	173.55	173.55	173.55	186.01	297.93	396.97	286.78	200.32	208.36	237.44	208.36	278.99	99999	208.36	200.32	278.99	200.32	167.87	297.93	321.38	352.15	157.45	430.63	263.11	249.44	258.57	275.71	206.18	263.11	99999	99999	208.36	321.38	206.63	297.93	190.84	419.56	352.15	198.41	99999	237.44	167.87	246.80	99999	99999	278.99	300.31	263.11	396.97	
290.41	66.78	99999	0.00	409.52	243.46	432.89	299.68	446.65	312.34	68.67	290.41	58.60	272.48	145.19	446.65	125.38	446.65	83.16	290.41	154.44	340.54	145.19	244.19	129.02	99999	319.83	380.07	196.51	340.54	99999	446.65	290.41	340.54	340.54	340.54	380.07	380.07	380.07	312.34	340.54	99999	358.35	290.41	272.48	257.32	272.48	99999	99999	272.48	742.72	272.48	244.19	446.65	312.34	312.34	446.65	446.65	241.82	257.32	312.34	310.47	99999	275.71	446.65	272.48	203.16	742.72	272.48	472.11	340.54	472.11	646.49	99999	308.01	340.54	446.65	446.65	372.42	742.72	290.41	99999	337.78	99999	99999	
372.42	299.68	372.42	409.52	0.00	89.21	365.19	319.83	269.31	99999	520.30	335.08	399.37	269.31	299.68	286.78	324.74	372.42	520.30	286.78	299.68	372.42	299.68	286.78	99999	266.19	315.08	308.01	248.91	194.61	335.08	99999	168.64	99999	99999	611.76	269.31	269.31	269.31	286.78	168.64	372.42	286.78	286.78	432.89	180.76	372.42	202.37	222.16	432.89	308.01	254.48	230.22	286.78	241.60	286.78	269.31	269.31	209.91	254.48	286.78	195.47	217.81	328.53	241.60	286.78	168.47	611.76	210.80	236.51	335.08	248.91	247.93	372.42	266.19	335.08	99999	99999	227.85	99999	432.89	269.31	208.95	254.48	99999	
324.74	243.46	299.68	243.46	89.21	0.00	324.74	287.93	248.91	358.35	257.08	358.35	209.08	279.71	220.85	236.51	291.76	324.74	390.02	263.11	257.08	358.35	272.90	299.68	390.02	276.28	238.13	99999	243.46	190.84	299.68	99999	236.51	358.35	358.35	358.35	358.35	358.35	358.35	358.35	206.63	299.68	225.50	279.71	358.35	198.41	358.35	225.50	259.47	358.35	324.74	215.61	236.51	358.35	279.71	225.50	279.71	358.35	231.71	279.71	99999	195.47	99999	99999	225.50	324.74	216.75	279.71	248.91	409.52	279.71	409.52	263.11	99999	223.16	409.52	99999	99999	260.07	324.74	520.30	279.71	195.14	409.52	358.35	
316.79	335.08	99999	432.89	365.19	324.74	0.00	185.62	198.41	388.23	269.31	462.33	420.62	346.22	372.42	99999	335.08	99999	432.89	346.22	372.42	346.22	254.48	99999	99999	99999	248.91	346.22	308.01	275.71	99999	99999	275.71	346.22	346.22	346.22	346.22	346.22	346.22	346.22	275.71	235.01	208.71	215.00	260.20	260.20	260.20	275.71	99999	260.20	346.22	275.71	346.22	275.71	260.20	388.23	99999	99999	277.58	294.13	99999	222.00	340.54	242.12	462.33	206.35	437.01	99999	99999	198.41	294.13	206.63	257.93	99999	99999	191.07	99999	99999	312.34	246.80	99999	99999	225.06	99999	388.23	
335.08	236.51	335.08	299.68	319.83	287.93	185.62	0.00	69.55	99999	263.11	308.01	260.07	372.42	324.74	372.42	236.51	308.01	358.35	335.08	409.52	269.31	358.35	372.42	99999	365.19	243.46	611.76	279.71	220.02	99999	99999	335.08	308.01	308.01	308.01	308.01	308.01	308.01	308.01	269.31	174.51	148.43	269.31	432.89	269.31	432.89	269.31	565.23	432.89	308.01	308.01	308.01	99999	335.08	254.48	611.76	99999	299.28	432.89	99999	238.59	239.04	377.47	372.42	335.08	287.73	241.60	372.42	269.59	372.42	269.59	226.91	99999	99999	210.80	99999	432.89	239.04	194.61	99999	99999	300.31	99999	194.61	
321.38	244.19	278.99	446.65	269.31	248.91	198.41	69.55	0.00	249.44	290.41	297.93	335.08	321.38	340.54	352.15	272.48	321.38	99999	321.38	340.54	321.38	312.34	278.99	446.65	346.22	251.68	352.15	312.34	192.90	263.11	99999	278.99	297.93	297.93	321.38	321.38	321.38	321.38	321.38	226.76	157.45	163.12	226.76	278.99	237.44	278.99	321.38	99999	278.99	237.44	297.93	297.93	263.11	208.36	226.76	99999	396.97	672.95	352.15	99999	222.00	260.20	230.56	99999	226.76	331.55	263.11	297.93	225.50	278.99	236.51	221.14	321.38	99999	200.32	396.97	321.38	294.13	237.44	99999	99999	99999	99999	208.36	
54.95	290.41	51.80	312.34	99999	358.35	388.23	99999	249.44	0.00	380.07	61.61	286.78	111.47	290.41	66.97	312.34	58.21	99999	108.50	446.65	124.44	380.07	105.62	290.41	275.71	239.04	97.48	99999	278.99	278.99	226.76	352.15	179.57	179.57	179.57	173.55	173.55	173.55	167.87	297.93	297.93	286.78	249.44	186.01	226.76	186.01	396.97	301.40	186.01	200.32	226.76	217.12	186.01	278.99	352.15	278.99	200.32	430.63	237.44	226.76	317.44	246.80	163.34	278.99	396.97	99999	200.32	99999	198.41	352.15	190.84	99999	297.93	215.00	99999	237.44	173.55	275.71	99999	99999	297.93	347.68	352.15	480.62	
340.54	66.78	99999	68.67	520.30	257.08	269.31	263.11	290.41	380.07	0.00	446.65	82.06	446.65	145.19	380.07	92.65	99999	85.44	446.65	159.43	742.72	140.88	272.48	118.50	611.76	319.83	99999	170.28	244.19	742.72	742.72	272.48	340.54	340.54	340.54	340.54	340.54	340.54	380.07	380.07	290.41	409.52	244.19	272.48	272.48	272.48	99999	422.08	272.48	742.72	272.48	232.61	340.54	232.61	340.54	99999	312.34	256.54	257.32	340.54	278.33	99999	301.12	742.72	312.34	358.35	742.72	257.32	472.11	99999	99999	252.88	99999	286.78	742.72	340.54	446.65	335.08	290.41	380.07	99999	263.11	99999	742.72	
70.74	312.34	40.27	290.41	335.08	358.35	462.33	308.01	297.93	61.61	446.65	0.00	269.31	65.15	232.61	61.61	257.32	68.83	99999	90.01	244.19	83.11	232.61	76.71	290.41	215.00	251.68	83.11	312.34	249.44	226.76	237.44	297.93	148.05	148.05	152.63	152.63	152.63	152.63	162.52	249.44	396.97	286.78	208.36	200.32	217.12	200.32	297.93	99999	200.32	217.12	208.36	208.36	173.55	278.99	226.76	297.93	186.01	672.95	263.11	237.44	222.00	246.80	195.96	249.44	263.11	331.55	217.12	297.93	177.27	278.99	171.14	263.11	352.15	198.41	99999	237.44	157.45	235.01	99999	278.99	352.15	300.31	226.76	99999	
372.42	82.06	99999	58.60	399.37	209.08	420.62	260.07	335.08	286.78	82.06	269.31	0.00	372.42	148.24	269.31	99.30	335.08	99.30	335.08	157.89	99999	152.94	308.01	107.83	329.82	315.08	99999	163.12	308.01	335.08	372.42	269.31	220.02	220.02	220.02	210.80	210.80	210.80	230.22	269.31	432.89	319.83	230.22	230.22	335.08	230.22	611.76	565.23	230.22	308.01	269.31	220.02	308.01	308.01	269.31	286.78	308.01	238.93	269.31	286.78	358.35	99999	235.50	432.89	335.08	200.78	432.89	335.08	269.59	611.76	269.59	311.61	99999	99999	308.01	335.08	335.08	239.04	372.42	269.31	99999	217.26	99999	99999	
